rcaCode,rcaMethod54,rcaNDischarged54,rcaNIncoming54,rcaPDischarged54,rcaPIncoming54,rcaPlants54,rcaPlantsCapacity54,repCode,ReportNetEnvelopeFileId
ATRA_1_CM,M,9632,50315,662,7196,1869,22034925,AT_UWWTD_2019_1,48142
BE1,M,1444,7388,145,869,16,1897950,BE-2018,48404
FRSA_CA_01213,M,18,99,3,15,2,46000,FR2018,47935
FRSA_CA_03201,M,41,417,4,48,7,197810,FR2018,47935
FRSA_CA_03205,M,207,1096,20,119,10,340700,FR2018,47935
FRSA_CA_03206,M,2,31,1,4,2,31320,FR2018,47935
FRSA_CA_04202,M,142,909,19,115,8,253360,FR2018,47935
FRSA_CA_04205,M,12,85,0,12,1,83300,FR2018,47935
FRSA_CA_04207,M,6,161,1,17,1,56700,FR2018,47935
FRSA_CA_04209,M,48,596,8,74,9,268220,FR2018,47935
FRSA_CA_04215,M,2,27,0,3,1,25000,FR2018,47935
FRSA_CA_04216,M,156,1518,18,190,41,782900,FR2018,47935
FRSA_CA_04223,M,295,1696,19,178,14,749796,FR2018,47935
FRSA_CM_01214,M,599,4982,84,562,199,1877356,FR2018,47935
FRSA_CM_01215,M,357,2159,43,251,83,681607,FR2018,47935
FRSA_CM_01216,M,1899,11099,222,1408,249,3501365,FR2018,47935
FRSA_CM_02019,M,232,1150,31,136,111,564511,FR2018,47935
FRSA_CM_02020,M,1086,5616,113,650,370,2201988,FR2018,47935
FRSA_CM_02021,M,1426,8920,133,1017,160,3576706,FR2018,47935
FRSA_CM_02022,M,324,1576,42,179,151,644746,FR2018,47935
FRSA_CM_03202,M,341,3506,47,422,326,1632377,FR2018,47935
FRSA_CM_03203,M,153,1066,23,120,193,461213,FR2018,47935
FRSA_CM_03204,M,90,724,21,87,158,394347,FR2018,47935
FRSA_CM_03205,M,11,94,2,9,5,34300,FR2018,47935
FRSA_CM_03208,M,32,321,8,36,44,131526,FR2018,47935
FRSA_CM_04201,M,112,840,25,113,94,334485,FR2018,47935
FRSA_CM_04202,M,279,2556,47,376,280,960601,FR2018,47935
FRSA_CM_04203,M,10,179,3,23,10,84400,FR2018,47935
FRSA_CM_04204,M,44,388,8,80,70,204989,FR2018,47935
FRSA_CM_04205,M,6,28,1,5,11,8630,FR2018,47935
FRSA_CM_04206,M,80,890,16,135,35,461315,FR2018,47935
FRSA_CM_04207,M,0,4,0,0,1,2000,FR2018,47935
FRSA_CM_04208,M,33,314,6,41,31,178249,FR2018,47935
FRSA_CM_04209,M,83,695,18,98,89,357198,FR2018,47935
FRSA_CM_04211,M,122,1317,14,150,44,385231,FR2018,47935
FRSA_CM_04213,M,4127,19073,650,2652,3078,5889645,FR2018,47935
FRSA_CM_04214,M,557,3222,100,431,353,1085018,FR2018,47935
FRSA_CM_04218,M,551,4940,87,671,425,1797206,FR2018,47935
FRSA_CM_04219,M,420,2229,80,331,388,742838,FR2018,47935
FRSA_CM_04220,M,111,831,18,124,124,347446,FR2018,47935
FRSA_CM_04221,M,61,448,10,60,62,139235,FR2018,47935
FRSA_CM_04222,M,254,1744,33,234,113,583250,FR2018,47935
FRSA_CM_05002,M,122,865,19,106,98,282709,FR2018,47935
FRSA_CM_05008,M,218,1373,41,188,303,517395,FR2018,47935
FRSA_CM_05011,M,141,577,20,87,244,283652,FR2018,47935
FRSA_CM_05021,M,19,97,2,15,25,29480,FR2018,47935
FRSA_CM_05216,M,70,353,12,48,146,200859,FR2018,47935
FRSA_CM_06225,M,94,1046,12,93,34,309657,FR2018,47935
FRSA_CM_06226,M,194,2180,26,262,25,383600,FR2018,47935
FRSA_CM_06227,M,109,1154,21,123,35,756599,FR2018,47935
FRSA_CM_06228,M,23,170,3,13,5,35600,FR2018,47935
FRSA_CM_06229,M,1734,8940,197,1085,731,3721992,FR2018,47935
FRSA_CM_06301,M,32,237,5,28,12,89670,FR2018,47935
FRSA_CM_06303,M,10,50,1,5,4,14300,FR2018,47935
FRSA_CM_06311,M,41,341,5,40,12,172332,FR2018,47935
FRSA_CM_06312,M,27,221,6,26,21,78683,FR2018,47935
FRSA_CM_06314,M,31,378,5,42,15,163900,FR2018,47935
FRSA_CM_06315,M,24,190,5,23,16,81150,FR2018,47935
FRSA_CM_06316,M,67,667,9,76,23,269681,FR2018,47935
FRSA_CM_06318,M,37,345,6,41,10,133900,FR2018,47935
FRSA_CM_06319,M,40,162,3,18,3,110000,FR2018,47935
FRSA_CM_06320,M,30,153,2,19,3,34200,FR2018,47935
FRSA_RI_01214,M,599,4982,84,562,199,1877356,FR2018,47935
FRSA_RI_01215,M,357,2159,43,251,83,681607,FR2018,47935
FRSA_RI_01216,M,1899,11099,222,1408,249,3501365,FR2018,47935
FRSA_RI_02019,M,232,1150,31,136,111,564511,FR2018,47935
FRSA_RI_02020,M,1086,5616,113,650,370,2201988,FR2018,47935
FRSA_RI_02021,M,1426,8920,133,1017,160,3576706,FR2018,47935
FRSA_RI_02022,M,324,1576,42,179,151,644746,FR2018,47935
FRSA_RI_03202,M,341,3506,47,422,326,1632377,FR2018,47935
FRSA_RI_03203,M,153,1066,23,120,193,461213,FR2018,47935
FRSA_RI_03204,M,90,724,21,87,158,394347,FR2018,47935
FRSA_RI_03205,M,11,94,2,9,5,34300,FR2018,47935
FRSA_RI_03208,M,32,321,8,36,44,131526,FR2018,47935
FRSA_RI_04201,M,112,840,25,113,94,334485,FR2018,47935
FRSA_RI_04202,M,279,2556,47,376,280,960601,FR2018,47935
FRSA_RI_04203,M,10,179,3,23,10,84400,FR2018,47935
FRSA_RI_04204,M,44,388,8,80,70,204989,FR2018,47935
FRSA_RI_04205,M,6,28,1,5,11,8630,FR2018,47935
FRSA_RI_04206,M,80,890,16,135,35,461315,FR2018,47935
FRSA_RI_04207,M,0,4,0,0,1,2000,FR2018,47935
FRSA_RI_04208,M,33,314,6,41,31,178249,FR2018,47935
FRSA_RI_04209,M,83,695,18,98,89,357198,FR2018,47935
FRSA_RI_04211,M,122,1317,14,150,44,385231,FR2018,47935
FRSA_RI_04213,M,4127,19073,650,2652,3078,5889645,FR2018,47935
FRSA_RI_04214,M,557,3222,100,431,353,1085018,FR2018,47935
FRSA_RI_04218,M,551,4940,87,671,425,1797206,FR2018,47935
FRSA_RI_04219,M,420,2229,80,331,388,742838,FR2018,47935
FRSA_RI_04220,M,111,831,18,124,124,347446,FR2018,47935
FRSA_RI_04221,M,61,448,10,60,62,139235,FR2018,47935
FRSA_RI_04222,M,254,1744,33,234,113,583250,FR2018,47935
FRSA_RI_05002,M,122,865,19,106,98,282709,FR2018,47935
FRSA_RI_05008,M,218,1373,41,188,303,517395,FR2018,47935
FRSA_RI_05011,M,141,577,20,87,244,283652,FR2018,47935
FRSA_RI_05021,M,19,97,2,15,25,29480,FR2018,47935
FRSA_RI_05216,M,70,353,12,48,146,200859,FR2018,47935
FRSA_RI_06225,M,94,1046,12,93,34,309657,FR2018,47935
FRSA_RI_06226,M,194,2180,26,262,25,383600,FR2018,47935
FRSA_RI_06227,M,109,1154,21,123,35,756599,FR2018,47935
FRSA_RI_06228,M,23,170,3,13,5,35600,FR2018,47935
FRSA_RI_06229,M,1734,8940,197,1085,731,3721992,FR2018,47935
FRSA_RI_06301,M,32,237,5,28,12,89670,FR2018,47935
FRSA_RI_06303,M,10,50,1,5,4,14300,FR2018,47935
FRSA_RI_06311,M,41,341,5,40,12,172332,FR2018,47935
FRSA_RI_06314,M,31,378,5,42,15,163900,FR2018,47935
FRSA_RI_06315,M,24,190,5,23,16,81150,FR2018,47935
FRSA_RI_06316,M,67,667,9,76,23,269681,FR2018,47935
FRSA_RI_06318,M,37,345,6,41,10,133900,FR2018,47935
FRSA_RI_06319,M,40,162,3,18,3,110000,FR2018,47935
FRSA_RI_06320,M,30,153,2,19,3,34200,FR2018,47935
HULKAIP517,M,124,1060,6,146,30,498622,HU-91271CQ-2020b,49193
HULKAIP540,M,1,11,0,2,1,2000,HU-91271CQ-2020b,49193
HUCA2007,M,9649,44939,1071,6418,770,14697839,HU-91271CQ-2020b,49193
IT09CSA000000012,C,1908109,9277490,148700,723950,336,5099186,IT007,49342
IT09SA0000000006,C,966549,4021291,77358,328985,7,1715330,IT007,49342
ITCA99Q15SA004,C,493,2353,33,430,10,1229600,IT007,49342
ITCM99CSA10000004,C,4592,19121,553,2213,1169,8011069,IT007,49342
ITCM99CSAQ15001,E,22261,69894,2310,9170,7265,29896606,IT007,49342
ITCA99Q15SA001,E,0,0,0,0,0,0,IT007,49342
DE1,C,73421,454643,4788,70437,8923,150853887,DE_UWWT_2018,49298
NL2014,M,14006,94116,1676,13307,323,21612490,NL2020,48612
DK1,M,1735,16747,138,2532,218,7348169,DK2018,48191
DK2,M,1213,12880,137,1831,119,4024452,DK2018,48191
DK3,M,11,72,1,12,4,37000,DK2018,48191
DK4,M,12,176,2,34,4,66250,DK2018,48191
